company,name,model,link
LG,LG 18.5 INCH LED GAMING MONITOR (19M38AB),19M38AB,pcpricetracker.in/gen/products/9df171364c0207326c17c2e6c50cdaf1
LG,"LG 19M38HB - 19 Inch Monitor (5ms Response Time, HD TN Panel, HDMI, D-sub)",19M38HB,pcpricetracker.in/gen/products/2dfc4313723fedcf438aef7675726ec6
LG,"LG 20M39H - 20 Inch Monitor (5ms Response Time, HD TN Panel, HDMI, D-sub)",20M39H,pcpricetracker.in/gen/products/4f6d1c430918b5c1c1ca20dc3997add9
LG,"LG 22MK600M - 22 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, Frameless, FHD IPS Panel, HDMI, D-Sub)",22MK600M,pcpricetracker.in/gen/products/08d5b9dbb025960103535c3ec56ba73d
LG,"LG 22MP68VQ-P - 22 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, FHD IPS Panel, DVI, HDMI,  D-sub)",22MP68VQ,pcpricetracker.in/gen/products/bf76cfaae4109f1871251dacedbef24a
LG,LG 24inch 24BK750Y-B Full HD IPS Monitor Workstation Monitor,24BK750Y-B,pcpricetracker.in/gen/products/58183c0b743226fd09a4072bd999c19e
LG,"LG UltraGear 24GL600F-B - 24 Inch Gaming Monitor (AMD FreeSync, 1ms Responce Time, 144Hz Refresh Rate, FHD TN Panel, HDMI, Displayport)",24GL600F-B,pcpricetracker.in/gen/products/1b7d0597eea0cf69b69454597de550d3
LG,LG 24 inch Black FreeSync Gaming Monitor 24GM79G-B,24GM79G-B,pcpricetracker.in/gen/products/375f00ef75f9a068a11d90750661ddca
LG,"LG 24MK430H-B - 24 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, FHD IPS Panel, HDMI, D-Sub)",24MK430H-B,pcpricetracker.in/gen/products/20f7f33122c47bf48bda14ee0c037942
LG,"LG 24MK600M-W - 24 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, Frameless, FHD IPS Panel, HDMI, D-sub)",24MK600M,pcpricetracker.in/gen/products/147312ee719eca166121ebacfa75a447
LG,"LG 24MP59G - 24 Inch 99% sRGB Gaming Monitor (AMD FreeSync, 1ms Response Time, FHD IPS Panel, HDMI, D-sub, Display Port)",24MP59G,pcpricetracker.in/gen/products/74f3688fbd106aefce03c5f9542c1e7d
LG,"LG 24 inch Gaming Monitor - 1ms, 75Hz,Full HD, IPS Panel with VGA, HDMI, Display Port, Heaphone Ports - 24MP59G (Black)",24MP59G,pcpricetracker.in/gen/products/40c61fb6c46cd531024cac8a7ec70783
